Title,Field,Type,Date,Files & media
Multiphoton-Driven Photocatalytic Defluorination of Persistent Perfluoroalkyl Substances and Polymers by Visible Light,Chemistry,Literature,09/05/2025,Reading%20Paper%20with%20Miss%20Caracal%20the%20Genius/Multiphoton-driven_Photocatalytic_Defluorination_o.pdf
Civil Society: How Do National-Level Factors Influence Its Growth and Development,Social Sciece,Student Work,09/11/2025,
SAFE Artificial Intelligence in Finance,"Economics, Maths",Literature,09/13/2025,Reading%20Paper%20with%20Miss%20Caracal%20the%20Genius/SAFE_Artificial_Intelligence_in_finance.pdf
Shakespeare and autism: an exploratory evaluation of the Hunter Heartbeat Method,Social Sciece,Literature,09/22/2025,Reading%20Paper%20with%20Miss%20Caracal%20the%20Genius/MehlingTassPost2016.pdf
Immobilization of Dye on Silicon Nanofiber for pH Sensing and NH3 and HCl Detection,Chemistry,Student Work,09/18/2025,
A novel ratiometric electrochemical immunosensor for the detection of cancer antigen 125 based on three-dimensional carbon nanomaterial and MOFs,Chemistry,Literature,09/29/2025,Reading%20Paper%20with%20Miss%20Caracal%20the%20Genius/A_novel_ratiometric_electrochemical_immunosensor_for_the_detection_of_cancer_antigen_125_based_on_three-dimensional_carbon_nanomaterial_and_MOFs.pdf
A Biotic Knee Exoskeleton that Assists Patients in Rehabilitation with walking activities,Engineering,Student Work,10/16/2025,
A Prospective Test of the Dual-Pathway Model of Bulimic Pathology: Mediating Effects of Dieting and Negative Affect,Social Sciece,Literature,11/17/2025,Reading%20Paper%20with%20Miss%20Caracal%20the%20Genius/stice2001.pdf
Neural Characteristics of Interbrain Connectivity in Unresponsive Wakefulness Syndrome Patients,Science,Student Work,11/20/2025,
Manipulating Movement of a Robotic Car Implemented with Odometry System via Eye Tracking: Implication for Future Smart Wheelchairs,Engineering,Student Work,11/27/2025,
Impact of the Uyghur Script Reform on Rural-Origin Uyghurs: A Multi-Case Study,Social Sciece,Student Work,12/04/2025,
