Title,Date,Field,Files & media,Type
Civil Society: How Do National-Level Factors Influence Its Growth and Development,09/11/2025,Social Sciece,,Student Work
Multiphoton-Driven Photocatalytic Defluorination of Persistent Perfluoroalkyl Substances and Polymers by Visible Light,09/05/2025,Chemistry,Reading%20Paper%20with%20Miss%20Caracal%20the%20Genius/Multiphoton-driven_Photocatalytic_Defluorination_o.pdf,Literature
SAFE Artificial Intelligence in Finance,09/13/2025,"Economics, Maths",Reading%20Paper%20with%20Miss%20Caracal%20the%20Genius/SAFE_Artificial_Intelligence_in_finance.pdf,Literature
Immobilization of Dye on Silicon Nanofiber for pH Sensing and NH3 and HCl Detection,09/18/2025,Chemistry,,Student Work
Shakespeare and autism: an exploratory evaluation of the Hunter Heartbeat Method,09/22/2025,Social Sciece,Reading%20Paper%20with%20Miss%20Caracal%20the%20Genius/MehlingTassPost2016.pdf,Literature
A novel ratiometric electrochemical immunosensor for the detection of cancer antigen 125 based on three-dimensional carbon nanomaterial and MOFs,09/29/2025,Chemistry,Reading%20Paper%20with%20Miss%20Caracal%20the%20Genius/A_novel_ratiometric_electrochemical_immunosensor_for_the_detection_of_cancer_antigen_125_based_on_three-dimensional_carbon_nanomaterial_and_MOFs.pdf,Literature
A Biotic Knee Exoskeleton that Assists Patients in Rehabilitation with walking activities,10/16/2025,Engineering,,Student Work
A Prospective Test of the Dual-Pathway Model of Bulimic Pathology: Mediating Effects of Dieting and Negative Affect,11/17/2025,Social Sciece,Reading%20Paper%20with%20Miss%20Caracal%20the%20Genius/stice2001.pdf,Literature
Neural Characteristics of Interbrain Connectivity in Unresponsive Wakefulness Syndrome Patients,11/20/2025,Science,,Student Work
Manipulating Movement of a Robotic Car Implemented with Odometry System via Eye Tracking: Implication for Future Smart Wheelchairs,11/27/2025,Engineering,,Student Work
Impact of the Uyghur Script Reform on Rural-Origin Uyghurs: A Multi-Case Study,12/04/2025,Social Sciece,,Student Work
